tier,name,active_cells,keep_rate_active,keep_rate_all,saturated_rate,mean_abs_delta,max_abs_delta,mean_cut_distance_of_flips,flips_near_cut_rate,zero_effect_reason
A,"산불 밴드 −20%",900,0.9178,0.9701,0.2533,4.657,16,3.11,0.8108,
A,"산사태 밴드 −20%",675,0.9793,0.9943,0.7259,1.628,9,5.86,0.4286,
A,"호우 밴드 −20%",1125,0.9796,0.9907,0.4747,0.824,3,1.48,1.0000,
A,"응급의료 −20%",2475,0.9822,0.9822,0.3103,0.444,2,1.45,1.0000,
A,"한파 곡선 −20%",495,0.9758,0.9952,0.4606,0.947,2,1.33,1.0000,
A,"안전층 전체 동시 −20%",2475,0.9378,0.9378,0.3103,3.239,18,3.45,0.7987,
B,"미세먼지 축 가중 22% −20%",2475,0.9834,0.9834,0.3103,0.763,4,1.15,1.0000,
B,"계곡·수변 강수 ×1.5 −20%",495,0.9556,0.9911,0.4444,2.780,10,5.55,0.4545,
B,"산악 강풍 ×1.3 −20%",495,0.9859,0.9972,0.3657,0.648,1,1.00,1.0000,
B,"산악 산불 ×1.3 −20%",180,1.0000,1.0000,0.2944,0.000,0,0.00,0.0000,감점 불변(미적용 또는 반올림 흡수)
B,"해안 강풍 ×1.5 −20%",495,0.9859,0.9972,0.3657,0.648,1,1.00,1.0000,
B,"실내 할인 ×0.3 −20%",495,0.8586,0.9717,0.0242,4.188,8,3.27,0.8429,
A,"산불 밴드 +20%",900,0.9567,0.9842,0.2533,2.983,16,1.85,0.8974,
A,"산사태 밴드 +20%",675,0.9985,0.9996,0.7259,1.033,9,0.00,1.0000,
A,"호우 밴드 +20%",1125,0.9840,0.9927,0.4747,0.678,3,0.28,1.0000,
A,"응급의료 +20%",2475,0.9814,0.9814,0.3103,0.663,2,0.30,1.0000,
A,"한파 곡선 +20%",495,1.0000,1.0000,0.4606,0.689,2,0.00,0.0000,
A,"안전층 전체 동시 +20%",2475,0.9608,0.9608,0.3103,2.394,16,1.20,0.9588,
B,"미세먼지 축 가중 22% +20%",2475,0.9851,0.9851,0.3103,0.747,3,0.97,1.0000,
B,"계곡·수변 강수 ×1.5 +20%",495,0.9758,0.9952,0.4444,2.002,9,2.17,0.8333,
B,"산악 강풍 ×1.3 +20%",495,1.0000,1.0000,0.3657,0.000,0,0.00,0.0000,감점 불변(미적용 또는 반올림 흡수)
B,"산악 산불 ×1.3 +20%",180,1.0000,1.0000,0.2944,0.000,0,0.00,0.0000,감점 불변(미적용 또는 반올림 흡수)
B,"해안 강풍 ×1.5 +20%",495,0.9798,0.9960,0.3657,0.634,1,0.00,1.0000,
B,"실내 할인 ×0.3 +20%",495,0.8990,0.9798,0.0242,2.366,5,1.06,1.0000,
C,"envType 가중 전체 제거 (전부 1.0)",2475,0.8210,0.8210,0.3103,8.636,68,7.01,0.4402,
C,"실내 할인만 제거 (indoor 1.0)",495,0.2202,0.8440,0.0242,36.943,68,7.00,0.4430,
